num,country,iso
1,AFGHANISTAN,AFG
2,ALBANIA,ALB
3,ALGERIA,DZA
4,ANDORRA,AND
5,ANGOLA,AGO
6,ANTIGUA AND BARBUDA,ATG
7,ARGENTINA,ARG
8,ARMENIA,ARM
9,AUSTRALIA,AUS
10,AUSTRIA,AUT
11,AZERBAIJAN,AZE
12,BAHAMAS,BHS
13,BAHRAIN,BHR
14,BANGLADESH,BGD
15,BARBADOS,BRB
16,BELARUS,BLR
17,BELGIUM,BEL
18,BELIZE,BLZ
19,BENIN,BEN
20,BHUTAN,BTN
21,BOLIVIA (PLURINATIONAL STATE OF),BOL
22,BOSNIA AND HERZEGOVINA,BIH
23,BOTSWANA,BWA
24,BRAZIL,BRA
25,BRUNEI DARUSSALAM,BRN
26,BULGARIA,BGR
27,BURKINA FASO,BFA
28,BURUNDI,BDI
29,CABO VERDE,CPV
30,CAMBODIA,KHM
31,CAMEROON,CMR
32,CANADA,CAN
33,CENTRAL AFRICAN REPUBLIC,CAF
34,CHAD,TCD
35,CHILE,CHL
36,CHINA,CHN
37,COLOMBIA,COL
38,COMOROS,COM
39,CONGO,COG
40,COSTARICA,CRI
41,COTE D'IVOIRE,CIV
42,CROATIA,HRV
43,CUBA,CUB
44,CYPRUS,CYP
45,CZECH REPUBLIC,CZE
46,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,PRK
47,DEMOCRATIC REPUBLIC OF THE CONGO,COD
48,DENMARK,DNK
49,DJIBOUTI,DJI
50,DOMINICA,DMA
51,DOMINICAN REPUBLIC,DOM
52,ECUADOR,ECU
53,EGYPT,EGY
54,EL SALVADOR,SLV
55,EQUATORIAL GUINEA,GNQ
56,ERITREA,ERI
57,ESTONIA,EST
58,ETHIOPIA,ETH
59,FIJI,FJI
60,FINLAND,FIN
61,FRANCE,FRA
62,GABON,GAB
63,GAMBIA,GMB
64,GEORGIA,GEO
65,GERMANY,DEU
66,GHANA,GHA
67,GREECE,GRC
68,GRENADA,GRD
69,GUATEMALA,GTM
70,GUINEA,GIN
71,GUINEA-BISSAU,GNB
72,GUYANA,GUY
73,HAITI,HTI
74,HONDURAS,HND
75,HUNGARY,HUN
76,ICELAND,ISL
77,INDIA,IND
78,INDONESIA,IDN
79,IRAN (ISLAMIC REPUBLIC OF),IRN
80,IRAQ,IRQ
81,IRELAND,IRL
82,ISRAEL,ISR
83,ITALY,ITA
84,JAMAICA,JAM
85,JAPAN,JPN
86,JORDAN,JOR
87,KAZAKHSTAN,KAZ
88,KENYA,KEN
89,KIRIBATI,KIR
90,KUWAIT,KWT
91,KYRGYZSTAN,KGZ
92,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LAO
93,LATVIA,LVA
94,LEBANON,LBN
95,LESOTHO,LSO
96,LIBERIA,LBR
97,LIBYA,LBY
98,LIECHTENSTEIN,LIE
99,LITHUANIA,LTU
100,LUXEMBOURG,LUX
101,MADAGASCAR,MDG
102,MALAWI,MWI
103,MALAYSIA,MYS
104,MALDIVES,MDV
105,MALI,MLI
106,MALTA,MLT
107,MARSHALL ISLANDS,MHL
108,MAURITANIA,MRT
109,MAURITIUS,MUS
110,MEXICO,MEX
111,MICRONESIA (FEDERATED STATES OF),FSM
112,MONACO,MCO
113,MONGOLIA,MNG
114,MONTENEGRO,MNE
115,MOROCCO,MAR
116,MOZAMBIQUE,MOZ
117,MYANMAR,MMR
118,NAMIBIA,NAM
119,NAURU,NRU
120,NEPAL,NPL
121,NETHERLANDS,NLD
122,NEW ZEALAND,NZL
123,NICARAGUA,NIC
124,NIGER,NER
125,NIGERIA,NGA
126,NORWAY,NOR
127,OMAN,OMN
128,PAKISTAN,PAK
129,PALAU,PLW
130,PANAMA,PAN
131,PAPUA NEW GUINEA,PNG
132,PARAGUAY,PRY
133,PERU,PER
134,PHILIPPINES,PHL
135,POLAND,POL
136,PORTUGAL,PRT
137,QATAR,QAT
138,REPUBLIC OF KOREA,KOR
139,REPUBLIC OF MOLDOVA,MDA
140,ROMANIA,ROU
141,RUSSIAN FEDERATION,RUS
142,RWANDA,RWA
143,SAINT KITTS AND NEVIS,KNA
144,SAINTLUCIA,LCA
145,SAINT VINCENT AND THE GRENADINES,VCT
146,SAMOA,WSM
147,SAN MARINO,SMR
148,SAO TOME AND PRINCIPE,STP
149,SAUDI ARABIA,SAU
150,SENEGAL,SEN
151,SERBIA,SRB
152,SEYCHELLES,SYC
153,SIERRA LEONE,SLE
154,SINGAPORE,SGP
155,SLOVAKIA,SVK
156,SLOVENIA,SVN
157,SOLOMON ISLANDS,SLB
158,SOMALIA,SOM
159,SOUTH AFRICA,ZAF
160,SOUTH SUDAN,SSD
161,SPAIN,ESP
162,SRI LANKA,LKA
163,SUDAN,SDN
164,SURINAME,SUR
165,SWAZILAND,SWZ
166,SWEDEN,SWE
167,SWITZERLAND,CHE
168,SYRIAN ARAB REPUBLIC,SYR
169,TAJIKISTAN,TJK
170,THAILAND,THA
171,THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA,MKD
172,TIMOR-LESTE,TLS
173,TOGO,TGO
174,TONGA,TON
175,TRINIDAD AND TOBAGO,TTO
176,TUNISIA,TUN
177,TURKEY,TUR
178,TURKMENISTAN,TKM
179,TUVALU,TUV
180,UGANDA,UGA
181,UKRAINE,UKR
182,UNITED ARAB EMIRATES,ARE
183,UNITED KINGDOM,GBR
184,UNITED REPUBLIC OF TANZANIA,TZA
185,UNITED STATES,USA
186,URUGUAY,URY
187,UZBEKISTAN,UZB
188,VANUATU,VUT
189,VENEZUELA,VEN
190,VIET NAM,VNM
191,YEMEN,YEM
192,ZAMBIA,ZMB
193,ZIMBABWE,ZWE
